iso_code,year,iso_week,week_start,week_end,sCh,deaths,source,confidence_weight,disaggregation_method
BWA,2004,53,2004-12-27,2005-01-02,0.0,0.0,JHU,1.0,zero_fill
BWA,2005,1,2005-01-03,2005-01-09,0.0,0.0,JHU,1.0,zero_fill
BWA,2005,2,2005-01-10,2005-01-16,0.0,0.0,JHU,1.0,zero_fill
BWA,2005,3,2005-01-17,2005-01-23,0.0,0.0,JHU,1.0,zero_fill
BWA,2005,4,2005-01-24,2005-01-30,0.0,0.0,JHU,1.0,zero_fill
BWA,2005,5,2005-01-31,2005-02-06,0.0,0.0,JHU,1.0,zero_fill
BWA,2005,6,2005-02-07,2005-02-13,0.0,0.0,JHU,1.0,zero_fill
BWA,2005,7,2005-02-14,2005-02-20,0.0,0.0,JHU,1.0,zero_fill
BWA,2005,8,2005-02-21,2005-02-27,0.0,0.0,JHU,1.0,zero_fill
BWA,2005,9,2005-02-28,2005-03-06,0.0,0.0,JHU,1.0,zero_fill
BWA,2005,10,2005-03-07,2005-03-13,0.0,0.0,JHU,1.0,zero_fill
BWA,2005,11,2005-03-14,2005-03-20,0.0,0.0,JHU,1.0,zero_fill
BWA,2005,12,2005-03-21,2005-03-27,0.0,0.0,JHU,1.0,zero_fill
BWA,2005,13,2005-03-28,2005-04-03,0.0,0.0,JHU,1.0,zero_fill
BWA,2005,14,2005-04-04,2005-04-10,0.0,0.0,JHU,1.0,zero_fill
BWA,2005,15,2005-04-11,2005-04-17,0.0,0.0,JHU,1.0,zero_fill
BWA,2005,16,2005-04-18,2005-04-24,0.0,0.0,JHU,1.0,zero_fill
BWA,2005,17,2005-04-25,2005-05-01,0.0,0.0,JHU,1.0,zero_fill
BWA,2005,18,2005-05-02,2005-05-08,0.0,0.0,JHU,1.0,zero_fill
BWA,2005,19,2005-05-09,2005-05-15,0.0,0.0,JHU,1.0,zero_fill
BWA,2005,20,2005-05-16,2005-05-22,0.0,0.0,JHU,1.0,zero_fill
BWA,2005,21,2005-05-23,2005-05-29,0.0,0.0,JHU,1.0,zero_fill
BWA,2005,22,2005-05-30,2005-06-05,0.0,0.0,JHU,1.0,zero_fill
BWA,2005,23,2005-06-06,2005-06-12,0.0,0.0,JHU,1.0,zero_fill
BWA,2005,24,2005-06-13,2005-06-19,0.0,0.0,JHU,1.0,zero_fill
BWA,2005,25,2005-06-20,2005-06-26,0.0,0.0,JHU,1.0,zero_fill
BWA,2005,26,2005-06-27,2005-07-03,0.0,0.0,JHU,1.0,zero_fill
BWA,2005,27,2005-07-04,2005-07-10,0.0,0.0,JHU,1.0,zero_fill
BWA,2005,28,2005-07-11,2005-07-17,0.0,0.0,JHU,1.0,zero_fill
BWA,2005,29,2005-07-18,2005-07-24,0.0,0.0,JHU,1.0,zero_fill
BWA,2005,30,2005-07-25,2005-07-31,0.0,0.0,JHU,1.0,zero_fill
BWA,2005,31,2005-08-01,2005-08-07,0.0,0.0,JHU,1.0,zero_fill
BWA,2005,32,2005-08-08,2005-08-14,0.0,0.0,JHU,1.0,zero_fill
BWA,2005,33,2005-08-15,2005-08-21,0.0,0.0,JHU,1.0,zero_fill
BWA,2005,34,2005-08-22,2005-08-28,0.0,0.0,JHU,1.0,zero_fill
BWA,2005,35,2005-08-29,2005-09-04,0.0,0.0,JHU,1.0,zero_fill
BWA,2005,36,2005-09-05,2005-09-11,0.0,0.0,JHU,1.0,zero_fill
BWA,2005,37,2005-09-12,2005-09-18,0.0,0.0,JHU,1.0,zero_fill
BWA,2005,38,2005-09-19,2005-09-25,0.0,0.0,JHU,1.0,zero_fill
BWA,2005,39,2005-09-26,2005-10-02,0.0,0.0,JHU,1.0,zero_fill
BWA,2005,40,2005-10-03,2005-10-09,0.0,0.0,JHU,1.0,zero_fill
BWA,2005,41,2005-10-10,2005-10-16,0.0,0.0,JHU,1.0,zero_fill
BWA,2005,42,2005-10-17,2005-10-23,0.0,0.0,JHU,1.0,zero_fill
BWA,2005,43,2005-10-24,2005-10-30,0.0,0.0,JHU,1.0,zero_fill
BWA,2005,44,2005-10-31,2005-11-06,0.0,0.0,JHU,1.0,zero_fill
BWA,2005,45,2005-11-07,2005-11-13,0.0,0.0,JHU,1.0,zero_fill
BWA,2005,46,2005-11-14,2005-11-20,0.0,0.0,JHU,1.0,zero_fill
BWA,2005,47,2005-11-21,2005-11-27,0.0,0.0,JHU,1.0,zero_fill
BWA,2005,48,2005-11-28,2005-12-04,0.0,0.0,JHU,1.0,zero_fill
BWA,2005,49,2005-12-05,2005-12-11,0.0,0.0,JHU,1.0,zero_fill
BWA,2005,50,2005-12-12,2005-12-18,0.0,0.0,JHU,1.0,zero_fill
BWA,2005,51,2005-12-19,2005-12-25,0.0,0.0,JHU,1.0,zero_fill
BWA,2005,52,2005-12-26,2006-01-01,0.0,0.0,JHU,1.0,zero_fill
BWA,2006,1,2006-01-02,2006-01-08,0.0,0.0,JHU,1.0,zero_fill
BWA,2006,2,2006-01-09,2006-01-15,0.0,0.0,JHU,1.0,zero_fill
BWA,2006,3,2006-01-16,2006-01-22,0.0,0.0,JHU,1.0,zero_fill
BWA,2006,4,2006-01-23,2006-01-29,0.0,0.0,JHU,1.0,zero_fill
BWA,2006,5,2006-01-30,2006-02-05,0.0,0.0,JHU,1.0,zero_fill
BWA,2006,6,2006-02-06,2006-02-12,0.0,0.0,JHU,1.0,zero_fill
BWA,2006,7,2006-02-13,2006-02-19,0.0,0.0,JHU,1.0,zero_fill
BWA,2006,8,2006-02-20,2006-02-26,0.0,0.0,JHU,1.0,zero_fill
BWA,2006,9,2006-02-27,2006-03-05,0.0,0.0,JHU,1.0,zero_fill
BWA,2006,10,2006-03-06,2006-03-12,0.0,0.0,JHU,1.0,zero_fill
BWA,2006,11,2006-03-13,2006-03-19,0.0,0.0,JHU,1.0,zero_fill
BWA,2006,12,2006-03-20,2006-03-26,0.0,0.0,JHU,1.0,zero_fill
BWA,2006,13,2006-03-27,2006-04-02,0.0,0.0,JHU,1.0,zero_fill
BWA,2006,14,2006-04-03,2006-04-09,0.0,0.0,JHU,1.0,zero_fill
BWA,2006,15,2006-04-10,2006-04-16,0.0,0.0,JHU,1.0,zero_fill
BWA,2006,16,2006-04-17,2006-04-23,0.0,0.0,JHU,1.0,zero_fill
BWA,2006,17,2006-04-24,2006-04-30,0.0,0.0,JHU,1.0,zero_fill
BWA,2006,18,2006-05-01,2006-05-07,0.0,0.0,JHU,1.0,zero_fill
BWA,2006,19,2006-05-08,2006-05-14,0.0,0.0,JHU,1.0,zero_fill
BWA,2006,20,2006-05-15,2006-05-21,0.0,0.0,JHU,1.0,zero_fill
BWA,2006,21,2006-05-22,2006-05-28,0.0,0.0,JHU,1.0,zero_fill
BWA,2006,22,2006-05-29,2006-06-04,0.0,0.0,JHU,1.0,zero_fill
